Brand,Model,Year,Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Honda,Honda Amaze S i-Dtech,2019,315000,127884,Diesel,Dealer,Manual,First Owner
Tata,Tata,2014,1600000,3000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2015,475000,24600,Petrol,Dealer,Manual,First Owner
Nissan,Nissan Micra Active XV Petrol,2007,399000,30000,Petrol,Individual,Manual,First Owner
BMW,BMW 3 Series 320d Sport,2017,1490000,40000,Diesel,Dealer,Automatic,First Owner
Chevrolet,Chevrolet Cruze LTZ AT,2009,650000,50000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti,2012,,,Petrol,,Manual,
Ford,Ford,2013,600000,,Diesel,,Manual,Second Owner
Chevrolet,Chevrolet,2011,159000,,Diesel,,Manual,First Owner
Hyundai,Hyundai Verna 1.6 VTVT AT S Option,2007,690000,80000,Petrol,Individual,Automatic,First Owner
Volkswagen,Volkswagen,2013,300000,,Diesel,,Manual,
Tata,Tata Indigo LX,,,,Diesel,Individual,Manual,Third Owner
Maruti,Maruti,2015,400000,35000,Petrol,Individual,Manual,First Owner
Fiat,Fiat Grande Punto EVO 1.3 Dynamic,2017,325000,70000,Diesel,Individual,Manual,First Owner
Maruti,Maruti,,,,,,,Second Owner
Hyundai,Hyundai Verna 1.6 SX,2018,409999,120000,Diesel,Individual,Manual,Third Owner
Hyundai,Hyundai Santro Era,2012,,,Petrol,,Manual,
Hyundai,Hyundai,2013,1100000,10000,Petrol,,Automatic,First Owner
Toyota,Toyota,2013,450000,,Diesel,,Manual,
Maruti,Maruti Omni MPI STD BSIV,2016,200000,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz,2013,,10000,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti,2012,,,Petrol,,Manual,
Tata,Tata,2015,55000,195000,Diesel,Individual,Manual,Third Owner
Mahindra,Mahindra Scorpio LX,2005,411000,120000,Diesel,Individual,Manual,Second Owner
Mahindra,,2014,425000,50000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet,2014,200999,90000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai,,,,,,,First Owner
Maruti,Maruti Zen LXI,2016,85000,70000,Petrol,Individual,Manual,Second Owner
Audi,Audi A4 3.0 TDI Quattro,2016,1580000,86000,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai,2014,250000,110000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra Xylo D4,2018,750000,80000,Diesel,Individual,Manual,First Owner
Tata,Tata Nano Std,2016,40000,19000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2015,229999,40000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2011,335000,,Diesel,,Manual,First Owner
Volkswagen,Volkswagen Vento Diesel Style Limited Edition,2019,340000,85000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai i10 Sportz 1.2 AT,2017,330000,38000,Petrol,Dealer,Manual,First Owner
Mahindra,Mahindra Bolero DI,,,,Diesel,Individual,Manual,First Owner
Volkswagen,Volkswagen Polo Diesel Trendline 1.2L,2018,130000,144000,,Individual,,Fourth & Above Owner
Skoda,Skoda,2014,600000,70000,Petrol,Individual,Automatic,First Owner
Maruti,Maruti,,,,,,Manual,First Owner
Hyundai,Hyundai i20 1.2 Spotz,2016,400000,38000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Alto 800 LXI,2016,240000,50000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Swift Dzire Vdi BSIV,2018,215000,90000,Diesel,Dealer,Manual,Fourth & Above Owner
Hyundai,Hyundai i20 1.2 Sportz,2009,280000,110000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Zen LX,2007,95000,50000,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2009,1500000,35000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti,2012,,,Petrol,,Manual,
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000,Diesel,Individual,Automatic,Second Owner
BMW,BMW,2013,2150000,43000,Diesel,Dealer,Automatic,First Owner
Honda,Honda,2015,550000,12997,Diesel,Dealer,Manual,First Owner
Renault,Renault KWID RXT,2007,315000,16000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra,2015,610000,15000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai,2013,,56580,Petrol,,Manual,First Owner
Tata,Tata Xenon XT EX 4X2,,,,,,,Second Owner
Chevrolet,Chevrolet,2012,130000,,Petrol,,Manual,
Toyota,Toyota Etios Cross 1.2L G,2017,421000,23839,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Ertiga VXI ABS,2011,350000,40000,Diesel,Individual,Manual,First Owner
Tata,Tata,,,,,,,First Owner
Hyundai,Hyundai Grand i10 Sportz,2018,375000,10000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Baleno Alpha 1.2,2010,625000,52000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Swift Dzire LDI,2016,425000,90000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i10 Magna 1.2 iTech SE,2018,190000,60000,Petrol,Individual,Manual,Second Owner
Ford,Ford Endeavour 3.0L 4X4 AT,2017,1000000,90000,Diesel,Individual,Automatic,Second Owner
Hyundai,Hyundai i20 Magna 1.2,2009,600000,25000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Beat Diesel LS,,,,,,,First Owner
Hyundai,Hyundai Creta 1.6 CRDi SX,2008,840000,70000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Xcent 1.1 CRDi SX Option,2017,455000,55850,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Ertiga ZXI,2018,635000,13250,,Dealer,,First Owner
Hyundai,Hyundai Xcent 1.1 CRDi Base,2018,375000,72000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Etios VD,,,,Diesel,Dealer,Manual,First Owner
Volkswagen,,2013,850000,20000,Petrol,Individual,Automatic,Second Owner
Honda,Honda Amaze V CVT Petrol BSIV,2018,725000,26000,,Individual,,First Owner
Renault,Renault Duster 85PS Diesel RxL Plus,2018,302000,60000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai,2015,744000,106000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Marazzo M4,2016,950000,15000,Diesel,Individual,Manual,Second Owner
Toyota,Toyota,,,,,,,First Owner
Mahindra,Mahindra,2011,370000,,Diesel,,Manual,Third Owner
Maruti,Maruti,2015,110000,90000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Xylo D2 BSIV,2011,450000,120000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Wagon R DUO LPG,2009,210000,90000,LPG,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz C-Class Progressive C 220d,2016,3800000,10000,Diesel,Dealer,Automatic,First Owner
Chevrolet,Chevrolet,,,,,,,First Owner
Audi,Audi,2013,,86000,Diesel,Dealer,Automatic,First Owner
Mahindra,Mahindra Jeep CJ 500 DI,,,,Diesel,Individual,Manual,First Owner
Maruti,Maruti,2010,170000,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti,2012,400000,,Petrol,,Manual,
Mahindra,Mahindra TUV 300 T4,2018,630000,50000,Diesel,Individual,Manual,First Owner
Land,Land Rover Discovery S 2.0 SD4,2017,4000000,68000,Petrol,Individual,Automatic,First Owner
Tata,Tata Indica Vista Aura Plus 1.3 Quadrajet,2018,200000,70000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti,2011,250000,,Diesel,,Manual,Third Owner
Mahindra,Mahindra,2014,145000,25000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing GLS,2006,150000,79000,Petrol,Individual,Manual,Third Owner
Tata,Tata Indica DLS,,,,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Swift VDI BSIV,2017,475000,60000,Diesel,Individual,Manual,First Owner
Hyundai,,,,,,Individual,Manual,First Owner
Hyundai,Hyundai,2013,180000,,LPG,,Manual,
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Audi,Audi A6 2.0 TDI  Design Edition,2017,1750000,102354,Diesel,Dealer,Automatic,First Owner
Hyundai,Hyundai i20 Asta 1.2,2012,600000,,Petrol,,Manual,
Hyundai,Hyundai,2012,200000,,Petrol,,Manual,
Maruti,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2010,80000,90000,LPG,Individual,Manual,Second Owner
Maruti,Maruti Wagon R VXI,2011,315000,,Petrol,Dealer,Manual,First Owner
Tata,Tata Hexa XM,2017,1000000,50000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2016,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner
Datsun,Datsun,2014,210000,50000,Petrol,Individual,Manual,First Owner
Toyota,Toyota,2011,300000,,Diesel,,Manual,Second Owner
Skoda,Skoda,2013,,52000,Diesel,Dealer,Manual,First Owner
Audi,Audi,2014,1300000,58500,Diesel,Dealer,Automatic,First Owner
Mahindra,Mahindra,2013,565000,72000,Diesel,,Manual,First Owner
